Node,Code,Fraction,Coal,Gas,Oil,Hydro,Geothermal,Biomass,Waste
Cambodia,KH,1,505,0,54,0.76,0,2,25
Laos,LA,1,1878,0,0,0,0,0,0
Thailand,TH,1,5260,28959,0,0,0,89,0
Vietnam-Hanoi,VH,0.5,7062.5,3867,457.5,0,0,11,0
Vietnam-HCMC,VS,0.5,7062.5,3867,457.5,0,0,11,0
