# Annual demand (TWh),Annual Energy Losses (TWh),PV Capacity (GW),PV Avg Annual Gen (GWh),Wind Capacity (GW),Wind Avg Annual Gen (GWh),Hydro Capacity (GW),Hydro Avg Annual Gen (GWh),Fossil Capacity (GW),Fossil Generation (GWh),PHES-PowerCap (GW),PHES-EnergyCap (GWh),CapDCO,CapDCS,CapAC,LCOE,LCOG,LCOB,LCOG_PV,LCOG_Wind,LCOG_Hydro,LCOGFossil,LCOBS_PHES,LCOBT,LCOB_LossesSpillage
1306,11.91294458,240.7583684,340.3249574,321.3371394,1201.403992,35.35176,40.97538126,59.43,51.4059305,115.3670396,2954.367443,148.1451133,0,66.67501156,56.59343933,29.55331912,27.0401202,42.09925633,22.2877504,50,100,10.1009751,9.173968673,7.765176434
,0.9%,,,,,,,,,,,,,,,,,,,,,,,
